ID,SERIAL,Brand_CODE,MODEL_CODE,SUBMODEL_CODE,Vehicle_Brand,Vehicle_model,Vehicle_submodel,VH_YEAR_BEG,VH_YEAR_END,COVER_01_FLAG,COVER_PLUS_FLAG,VEHICLE_MARKET_GROUP,SEDAN_TYPE,SELL_STAT,SUBMODEL_YEAR,EFFECT_DATE,SCALE,WEIGHT,CC,SEAT_NO,CHASSIS_NO_FORMAT,ENGINE_NO_FORMAT,STANDARD_SUMINS,STANDARD_THEFT,80_SUMINS,CAR_GROUP,OLD_STD_SUMINS,OLD_STD_THEFT,CREATE_MODIFY_DATE,CREATE_ID,MODIFY_ID,MODIFY_TIME,MODEL_STATUS,rbm_serial,Redbook_Code
2742,01VD0000033,01,14,VD,TOYOTA,CAMRY,CAMRY 2.5 HV,2018,2021,Y,Y,02,H,A,2019,30-09-2022,CC,,2500.00,7,,,1173500,1173500,940000,3,1246500,1246500,20-09-2022,570055,REDBOOK,14:33,N,      51601,TOYO19AN
2743,01VD0000033,01,14,VD,TOYOTA,CAMRY,CAMRY 2.5 HV,2018,2021,Y,Y,02,H,A,2020,30-09-2022,CC,,2500.00,7,,,1223000,1223000,980000,3,1299000,1299000,20-09-2022,570055,REDBOOK,14:33,N,      53219,TOYO20AW
2744,01VD0000033,01,14,VD,TOYOTA,CAMRY,CAMRY 2.5 HV,2018,2021,Y,Y,02,H,A,2021,30-09-2022,CC,,2500.00,7,,,1314500,1314500,1100000,3,1341500,1341500,20-09-2022,570055,REDBOOK,14:35,N,      54229,TOYO21BO
2745,01VE0000033,01,14,VE,TOYOTA,CAMRY,CAMRY 2.5 HV PREMIUM,2018,2023,Y,Y,02,H,A,2018,30-09-2022,CC,,2500.00,7,,,1213000,1213000,970000,3,1301500,1301500,20-09-2022,570055,REDBOOK,14:33,N,      51583,TOYO18FO
2746,01VE0000033,01,14,VE,TOYOTA,CAMRY,CAMRY 2.5 HV PREMIUM,2018,2023,Y,Y,02,H,A,2019,30-09-2022,CC,,2500.00,7,,,1274000,1274000,1000000,3,1353500,1353500,20-09-2022,570055,REDBOOK,14:33,N,      51602,TOYO19AO
2747,01VE0000033,01,14,VE,TOYOTA,CAMRY,CAMRY 2.5 HV PREMIUM,2018,2023,Y,Y,02,H,A,2020,30-09-2022,CC,,2500.00,7,,,1325500,1325500,1100000,3,1408000,1408000,20-09-2022,570055,REDBOOK,14:33,N,      53220,TOYO20AX
2748,01VE0000033,01,14,VE,TOYOTA,CAMRY,CAMRY 2.5 HV PREMIUM,2018,2023,Y,Y,02,H,A,2021,30-09-2022,CC,,2500.00,7,,,1425000,1425000,1100000,3,1454000,1454000,20-09-2022,570055,REDBOOK,14:35,N,      54230,TOYO21BP
2749,01VE0000033,01,14,VE,TOYOTA,CAMRY,CAMRY 2.5 HV PREMIUM,2018,2023,Y,Y,02,H,A,2022,01-01-2023,CC,,2500.00,7,,,1525000,1525000,1200000,3,1659000,1659000,11-10-2022,570055,390159,17:00,N,      55420,TOYO22AI
2750,01VE0000033,01,14,VE,TOYOTA,CAMRY,CAMRY 2.5 HV PREMIUM,2018,2023,Y,Y,02,H,A,2023,01-01-2023,CC,,2500.00,7,,,1659000,1659000,1300000,3,1659000,1659000,,340076,,,A,,
2751,01VF0000033,01,60,VF,TOYOTA,REVO,REVO STANDARD CHASSIS,2018,2020,Y,Y,12,9,A,2018,25-02-2022,WG,3000.00,,15,,,357390,357390,290000,,376200,376200,16-02-2022,340076,570055,10:35,N,,
2752,01VF0000033,01,60,VF,TOYOTA,REVO,REVO STANDARD CHASSIS,2018,2020,Y,Y,12,9,A,2019,25-02-2022,WG,3000.00,,15,,,383724,383724,310000,,403920,403920,16-02-2022,340076,570055,10:35,N,,
2753,01VF0000033,01,60,VF,TOYOTA,REVO,REVO STANDARD CHASSIS,2018,2020,Y,Y,12,9,A,2020,25-02-2022,WG,3000.00,,15,,,425600,425600,340000,,448000,448000,16-02-2022,340076,570055,10:35,N,,
2754,01VG0000033,01,84,VG,TOYOTA,YARIS,YARIS 1.2 G+,2018,2019,Y,Y,02,4,A,2018,30-09-2022,CC,,1200.00,7,,,432000,432000,350000,5,419000,419000,20-09-2022,570055,REDBOOK,14:33,N,      51576,TOYO18FH
2755,01VG0000033,01,84,VG,TOYOTA,YARIS,YARIS 1.2 G+,2018,2019,Y,Y,02,4,A,2019,30-09-2022,CC,,1200.00,7,,,454500,454500,360000,5,437000,437000,20-09-2022,570055,REDBOOK,14:33,N,      51588,TOYO19AA
2756,01VH0000033,01,84,VH,TOYOTA,YARIS,YARIS 1.2 S+,2018,2019,Y,Y,02,4,A,2018,25-02-2022,CC,,1200.00,7,,,438615,438615,350000,5,461700,461700,16-02-2022,340076,570055,10:35,N,,
2757,01VH0000033,01,84,VH,TOYOTA,YARIS,YARIS 1.2 S+,2018,2019,Y,Y,02,4,A,2019,25-02-2022,CC,,1200.00,7,,,464393,464393,370000,5,488835,488835,16-02-2022,340076,570055,10:35,N,,
2758,01VI0000033,01,44,VI,TOYOTA,LANDCRUISER,LAND CRUISER PRADO 4.8,2018,2018,N,N,01,3,A,2018,25-02-2022,CC,,4800.00,7,,,3488400,3488400,2800000,2,3672000,3672000,16-02-2022,340076,570055,10:35,N,,
2759,01VJ0000033,01,44,VJ,TOYOTA,LANDCRUISER,LANDCRUISER SAHARA 4.5D,2018,2020,N,N,01,3,A,2018,25-02-2022,CC,,4461.00,7,,,6002100,6002100,4800000,1,6318000,6318000,16-02-2022,340076,570055,10:35,N,,
2760,01VJ0000033,01,44,VJ,TOYOTA,LANDCRUISER,LANDCRUISER SAHARA 4.5D,2018,2020,N,N,01,3,A,2019,25-02-2022,CC,,4461.00,7,,,5608800,5608800,4500000,1,5904000,5904000,16-02-2022,340076,570055,10:35,N,,
2761,01VJ0000033,01,44,VJ,TOYOTA,LANDCRUISER,LANDCRUISER SAHARA 4.5D,2018,2020,N,N,01,3,A,2020,25-02-2022,CC,,4461.00,7,,,6232000,6232000,5000000,1,6560000,6560000,16-02-2022,340076,570055,10:35,N,,
