ID,Commission_Code,Valid_start,Valid_End,Product_Code,Product_Name,INC_Code,Insure_Type,Company_Insure_Type,Categories,Sub_Categories,Sub_Categories2,Main_Rider,minAge,maxAge,minSumAssure,maxSumAssure,maxRAR,minRAR,ComCommission,ComCommission_2,ComCommission_3,ComCommission_4,ComCommission_5,ComCommission_6,ComCommission_7,ComCommission_8,ComCommission_9,ComCommission_10,ComCommission_11Up,AgCommission,AgCommission_2,AgCommission_3,AgCommission_4,AgCommission_5,AgCommission_6,AgCommission_7,AgCommission_8,AgCommission_9,AgCommission_10,AgCommission_11Up,InCommission,InCommission_2,InCommission_3,InCommission_4,InCommission_5,InCommission_6,InCommission_7,InCommission_8,InCommission_9,InCommission_10,InCommission_11Up
804,CMTLI0021001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTLI0021,ผลประโยชน์ยกเว้นเบี้ยประกันภัย กรณีทุพพลภาพถาวรสิ้นเชิง (ไทยประกันชีวิต),TLI,Life,1,ประเภทสามัญ,อนุสัญญา,Rider,Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,CMTNI0001001,2025-05-29 00:00:00,9999-01-01 00:00:00,PDTNI0001,ประกันรถยนต์ชั้น 1 ธนชาต ประกันภัย (TNI),TNI,Non-Life,2,การประกันรถโดยความสมัครใจ,,Motor,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,CMTNI0002001,2025-05-29 00:00:00,9999-01-01 00:00:00,PDTNI0002,พรบ รถยนต์ ธนชาต ประกันภัย (TNI),TNI,Non-Life,2,การประกันรถโดยข้อบังคับแห่งกฏหมาย,,Motor,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,CMTNI0003001,2025-06-27 00:00:00,9999-01-01 00:00:00,PDTNI0003,ประกันรถยนต์ชั้น 2 + [ธนชาติ ประกันภัย] (TNI),TNI,Non-Life,2,การประกันรถโดยความสมัครใจ,,Motor,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,CMTNI0004001,2025-08-06 00:00:00,9999-01-01 00:00:00,PDTNI0004,ประกันรถยนต์ชั้น 3  (TNI),TNI,Non-Life,2,การประกันรถโดยความสมัครใจ,,Motor,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,CMTNI0005001,2026-05-07 00:00:00,9999-01-01 00:00:00,PDTNI0005,ประกันอัคคีภัย มาตรฐาน (TNI),TNI,Non-Life,2,การประกันอัคคีภัย,อัคคีภัย,Non-Motor,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,CMTNL0001001,2025-12-11 00:00:00,9999-01-01 00:00:00,PDTNL0001,ประกันคุ้มครองวงเงินสินเชื่อ ทีไลฟ์ ประกันชีวิต (TNL),TNL,Life,1,ประกันกลุ่ม,ประกันกลุ่ม,Group,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,CMTNL0002001,2025-12-26 00:00:00,9999-01-01 00:00:00,PDTNL0002,T-Life Smart Saving 10/2 (TNL),TNL,Life,1,ประเภทสามัญ,ประกันสะสมทรัพย์,Life,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,CMTNL0003001,2025-12-29 00:00:00,9999-01-01 00:00:00,PDTNL0003,T-Life  Fast Saving 3/1 (TNL),TNL,Life,1,ประเภทสามัญ,ประกันสะสมทรัพย์,Life,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,CMTNL0004001,2025-12-29 00:00:00,9999-01-01 00:00:00,PDTNL0004,T Life Smart Saving 10/5 (TNL),TNL,Life,1,ประเภทสามัญ,ประกันสะสมทรัพย์,Life,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,CMTNL0005001,2025-12-29 00:00:00,9999-01-01 00:00:00,PDTNL0005,T Life Smart Saving 10/4 (TNL),TNL,Life,1,ประเภทสามัญ,ประกันสะสมทรัพย์,Life,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,CMTNL0006001,2026-02-11 00:00:00,9999-01-01 00:00:00,PDTNL0006,T Life Smart Saving 10/3 (TNL),TNL,Life,1,ประเภทสามัญ,ประกันสะสมทรัพย์,Life,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,CMTOK00010001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTOK0001,สะสมทรัพย์ EN6N,TOK,Life,1,ประเภทสามัญ,ประกันตลอดชีพ,Life,Main,0,20,,,,,0.15,0.06,0.04,0.03,0.03,0.03,0.03,,,,,0.12,0.042,0.028,0.021,0.021,0.021,0.021,0,0,0,,0.12,0.042,0.028,0.021,0.021,,,,,,
506,CMTOK00020001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTOK0002,สะสมทรัพย์ EN10,TOK,Life,1,ประเภทสามัญ,ประกันตลอดชีพ,Life,Main,0,65,100000,499999,,,0.09,0.04,0.03,0.01,0.01,0.01,0.01,,,,,0.072,0.028,0.021,0.007,0.007,0.007,0.007,0,0,0,,0.072,0.028,0.021,0.007,0.007,,,,,,
507,CMTOK00030001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTOK0003,สะสมทรัพย์ EN15,TOK,Life,1,ประเภทสามัญ,ประกันตลอดชีพ,Life,Main,0,60,100000,499999,,,0.17,0.07,0.05,0.02,0.01,0.01,0.01,,,,,0.136,0.049,0.035,0.014,0.007,0.007,0.007,0,0,0,,0.136,0.049,0.035,0.014,0.007,,,,,,
508,CMTOK00040001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTOK0004,สะสมทรัพย์ EN20,TOK,Life,1,ประเภทสามัญ,ประกันตลอดชีพ,Life,Main,0,55,100000,499999,,,0.2,0.08,0.05,0.02,0.01,0.01,0.01,,,,,0.16,0.056,0.035,0.014,0.007,0.007,0.007,0,0,0,,0.16,0.056,0.035,0.014,0.007,,,,,,
509,CMTOK00050001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTOK0005,สะสมทรัพย์ EN55,TOK,Life,1,ประเภทสามัญ,ประกันตลอดชีพ,Life,Main,16,35,200000,499999,,,0.2,0.08,0.05,0.02,0.01,0.01,0.01,,,,,0.16,0.056,0.035,0.014,0.007,0.007,0.007,0,0,0,,0.16,0.056,0.035,0.014,0.007,,,,,,
510,CMTOK00060001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTOK0006,สะสมทรัพย์ EN60,TOK,Life,1,ประเภทสามัญ,ประกันตลอดชีพ,Life,Main,16,35,200000,499999,,,0.21,0.09,0.06,0.02,0.01,0.01,0.01,,,,,0.168,0.063,0.042,0.014,0.007,0.007,0.007,0,0,0,,0.168,0.063,0.042,0.014,0.007,,,,,,
511,CMTOK0007001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTOK0007,โตเกียว ฟิวเจอร์ ไบรท์ 18/5 TFB1,TOK,Life,1,ประเภทสามัญ,,Life,Main,0,65,100000,,,,0.11,0.05,0.03,0.01,0.01,,,,,,,0.088,0.035,0.021,0.007,0.007,0,0,0,0,0,,0.088,0.035,0.021,0.007,0.007,,,,,,
512,CMTOK0008001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTOK0008,โตเกียว ฟิวเจอร์ ไบรท์ 22/10 TFB2,TOK,Life,1,ประเภทสามัญ,,Life,Main,0,65,100000,,,,0.14,0.06,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.112,0.042,0.028,0.014,0.007,0.007,0.007,0.007,0.007,0.007,,0.112,0.042,0.028,0.014,0.007,,,,,,
513,CMTOK00090001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTOK0009,โตเกียว ซูเปอร์ โกรท 15/8 TSG1,TOK,Life,1,ประเภทสามัญ,,Life,Main,0,55,50000,,,,0.09,0.04,0.03,0.01,0.01,,,,,,,0.072,0.028,0.021,0.007,0.007,0,0,0,0,0,,0.072,0.028,0.021,0.007,0.007,,,,,,
514,CMTOK00100001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTOK0010,โตเกียว แทกซ์ เซฟเวอร์ 15/10 TTS1,TOK,Life,1,ประเภทสามัญ,,Life,Main,0,50,50000,,,,0.14,0.06,0.04,0.01,0.01,,,,,,,0.112,0.042,0.028,0.007,0.007,0,0,0,0,0,,0.112,0.042,0.028,0.007,0.007,,,,,,
515,CMTOK00110001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTOK0011,โตเกียว ซูเปอร์ โกรท 15/8 - GIO [TSG2],TOK,Life,1,ประเภทสามัญ,,Life,Main,0,55,50000,,,,0.09,0.04,0.03,0.01,0.01,,,,,,,0.072,0.028,0.021,0.007,0.007,0,0,0,0,0,,0.072,0.028,0.021,0.007,0.007,,,,,,
516,CMTOK00120001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTOK0012,โตเกียว แทกซ์ เซฟเวอร์ 15/10 - GIO [TTS2],TOK,Life,1,ประเภทสามัญ,,Life,Main,0,50,50000,,,,0.14,0.06,0.04,0.01,0.01,,,,,,,0.112,0.042,0.028,0.007,0.007,0,0,0,0,0,,0.112,0.042,0.028,0.007,0.007,,,,,,
517,CMTOK00130001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTOK0013,โตเกียว ชายด์ ชิลด์ 18/5 TCS1,TOK,Life,1,ประเภทสามัญ,,Life,Main,0,5,100000,,,,0.11,0.05,0.03,0.01,0.01,,,,,,,0.088,0.035,0.021,0.007,0.007,0,0,0,0,0,,0.088,0.035,0.021,0.007,0.007,,,,,,
